cnameshort,year,pfirstname,psurname,gpv,hp,ceo
Mercedes-Benz,2024,Markus,Schäfer,"3,719",1.0,0
Mercedes-Benz,2024,Britta,Seeger,"3,720",1.0,0
Mercedes-Benz,2024,Hubertus,Troska,"4,141",1.0,0
Merck,2024,Helene,von Roeder,"5,701",1.0,0
Merck,2024,Kai,Beckmann,"6,217",1.0,0
Merck,2024,Peter,Guenter,"6,792",1.0,0
Merck,2024,Matthias,Heinzel,"6,766",1.0,0
MTU,2024,Peter,Kameritsch,"2,802",1.0,0
MTU,2024,Silke,Maurer,"3,003",1.0,0
MTU,2024,Michael,Schreyögg,"2,822",1.0,0
Munich RE,2024,Christoph,Jurecka,"4,141",1.0,0
Munich RE,2024,Thomas,Blunck,"4,143",1.0,0
Munich RE,2024,Nicholas,Gartside,"3,599",1.0,0
Munich RE,2024,Stefan,Golling,"3,608",1.0,0
Munich RE,2024,Achim,Kassow,"3,619",1.0,0
Munich RE,2024,Michael,Kerner,"4,035",1.0,0
Munich RE,2024,Clarisse,Kopff,"3,613",1.0,0
Munich RE,2024,Mari-Lizette,Malherbe,"3,614",1.0,0
Munich RE,2024,Markus,Rieß,"4,063",1.0,0
Porsche AG,2024,Lutz,Meschke,"4,122",1.0,0
Porsche AG,2024,Barbara,Frenkel,"3,540",1.0,0
Porsche AG,2024,Andreas,Haffner,"3,559",1.0,0
Porsche AG,2024,Sajjad,Khan,"3,545",1.0,0
Porsche AG,2024,Detlev,von Platen,"3,638",1.0,0
Porsche AG,2024,Albrecht,Reimold,"3,607",1.0,0
Porsche AG,2024,Michael,Steiner,"3,584",1.0,0
Porsche SE,2024,Johannes,Lattwein,"1,970",1.0,0
Porsche SE,2024,Manfred,Döss,"1,569",1.0,0
Porsche SE,2024,Lutz,Meschke,"1,305",1.0,0
Qiagen,2024,Roland,Sackers,"3,962",1.0,0
Rheinmetall,2024,Dagmar,Steinert,"2,509",1.0,0
Rheinmetall,2024,Ursula,Biernert-Kloß,"2,650",4.0,0
Rheinmetall,2024,Peter,Krause,"2,653",1.3,0
RWE,2024,Michael,Müller,"3,063",1.0,0
RWE,2024,Katja,van Doren,"2,614",1.0,0
SAP,2024,Dominik,Asam,"6,213",1.0,0
SAP,2024,Muhammad,Alam,"4,796",1.3,0
SAP,2024,Jürgen,Müller,"5,084",1.3,0
SAP,2024,Scott,Russell,"8,792",1.5,0
SAP,2024,Thomas,Saueressig,"5,046",1.0,0
SAP,2024,Gina,Vargíu-Breuer,"4,224",1.1,0
SAP,2024,Julia,White,"6,059",1.5,0
Sartorius,2024,Florian,Funck,"1,584",1.3,0
Sartorius,2024,René,Fáber,"1,422",1.0,0
Sartorius,2024,Alexandra,Gatzemeyer,"1,190",1.0,0
Siemens,2024,Ralf P.,Thomas,"4,968",1.0,0
Siemens,2024,Cedrik,Neike,"4,166",1.0,0
Siemens,2024,Matthias,Rebellius,"4,948",1.0,0
Siemens,2024,Judith,Wiese,"4,668",1.0,0
Siemens Energy,2024,Maria,Ferraro,"1,154",1.0,0
Siemens Energy,2024,Karim,Amin,"1,082",1.0,0
Siemens Energy,2024,Anne-Laure,de Chammard,"1,000",1.0,0
Siemens Energy,2024,Tim,Holt,"1,160",1.0,0
Siemens Energy,2024,Vinod,Philipp,943,1.0,0
Siemens Healthineers,2024,Jochen,Schmitz,"2,960",1.0,0
Siemens Healthineers,2024,Darleen,Caron,"3,052",1.0,0
Siemens Healthineers,2024,Elisabeth,Staudinger-Leibrecht,"2,543",1.0,0
Symrise,2024,Olaf,Klinger,"2,010",1.0,0
Symrise,2024,Stephanie,Coßmann,"2,006",1.0,0
Symrise,2024,Andreas,Jörn,"2,267",1.3,0
Symrise,2024,Walter ,Ribeiro,571,3.4,0
Volkswagen,2024,Arno,Antlitz,"5,828",1.0,0
Volkswagen,2024,Ralf,Brandstätter,"6,236",1.0,0
Volkswagen,2024,Gernot,Döllner,"5,825",1.0,0
Volkswagen,2024,Manfred,Döss,"4,366",1.0,0
Volkswagen,2024,Gunnar,Kilian,"5,825",1.0,0
Volkswagen,2024,Thomas,Schäfer,"5,826",1.0,0
Volkswagen,2024,Thomas,Schmall-von Westerholt,"5,827",1.0,0
Volkswagen,2024,Hauke,Stars,"5,826",1.0,0
Vonovia,2024,Philip,Grosse,"2,775",1.0,0
Vonovia,2024,Arnd,Fittkau,"2,291",1.0,0
Vonovia,2024,Daniel,Riedl,"2,752",1.0,0
Vonovia,2024,Ruth,Werhahn,"2,783",1.0,0
Zalando,2024,Sandra,Dembeck,"2,301",1.0,0
Zalando,2024,Astrid,Arndt,"2,518",1.0,0
Zalando,2024,David,Schneider,"3,758",1.0,0
