cnameshort,year,cpersonnelexpenses,cnremployees,personalaufwand,cInformation,
Brenntag,2022,1380100,17540,79,Chemiedistributeur,
Commerzbank,2022,3415000,37852,90,Erbringung von Finanz- und Versicherungsdienstleistungen,
Continental,2022,10172500,199038,51,Autoteilehersteller,
Covestro,2022,1995000,17985,111,Herstellung von Hightech-Polymerwerkstoffen,
Daimler Truck,2022,7820000,108438,72,Automobil,
Deutsche Bank,2022,10237000,84930,121,Erbringung von Finanz- und Versicherungsdienstleistungen,
Deutsche Börse,2022,293900,1710,172,"Organisieren und betreiben regulierte Märkte für Wertpapiere, Derivate, Rohstoffe, Währungen und andere Anlageklassen",
Deutsche Post,2022,26035000,554975,47,Logistikdientleistungen,
Deutsche Telekom,2022,19371000,211236,92,Telekommunikation,
E.ON,2022,5437000,68888,79,Energieversorgung,
Airbus,2022,13645000,134267,102,Flugzeugherstellung,
Fresenius,2022,17378000,316920,55,Chemisch-pharmazeutisch,
Hannover Rück,2022,406108,3519,115,Rückversicherungsgesellschaft,
Heidelberg Cement,2022,3216700,51396,63,0,
Henkel,2022,3729000,51200,73,Chemisch-pharmazeutisch,
Infineon,2022,4170000,56194,74,Konsumgüter und Industrieprodukte,
Mercedes-Benz,2022,16501000,168797,98,Automobil,
Merck,2022,6644000,64232,103,Pharma-und Chemieunternehmen,
MTU,2022,954000,11273,85,Flugzeugtriebwerke,
Munich RE,2022,4165000,"41,389",101,Rückversicherungsgesellschaft,
Porsche,2022,4961000,36964,134,0,
Porsche Automobil Holding,2022,17000,38,447,0,
Qiagen,2022,584952.5707,6178,95,Molekulardiagnostik,
Rheinmetall,2022,1836000,21066,87,Verteidigungs- und Automobilzulieferer,
RWE,2022,3120000,18278,171,Energieversorgung,
SAP,2022,17256000,111961,154,Softwarelösungen,
Sartorius,2022,1133900,15942,71,Labortechnologie,
Siemens,2022,27201000,311000,87,Maschinenbau,
Siemens Energy,2022,8212000,91000,90,Energie und Technologie,
Siemens Healthineers,2022,6944000,70000,99,Medizintechnik,
Symrise,2022,906761,12043,75,Aromen und Duftstoffe,
Volkswagen,2022,47002000,646837,73,Automobil,
Vonovia,2022,863800,15915,54,Grundstücks- und Wohnungswesen,
Zalando,2022,1002100,16999,59,Online-Modehandel,
